"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"uni_email (URV)","MCAR",0.3,10,"MPLE",0.718935266784169,0.691291250093501,0.0530000000000008
"uni_email (URV)","MCAR",0.5,1,"MPLE",0.711339244719926,0.736275074858505,0.0489999999999995
"uni_email (URV)","MCAR",0.5,2,"MPLE",0.712300562442608,0.724853342736332,0.0530000000000008
"uni_email (URV)","MCAR",0.5,3,"MPLE",0.692880509641873,0.709610319774986,0.0499999999999972
"uni_email (URV)","MCAR",0.5,4,"MPLE",0.676502238292011,0.685857135082418,0.0479999999999983
"uni_email (URV)","MCAR",0.5,5,"MPLE",0.713699494949495,0.757003079652874,0.0549999999999997
"uni_email (URV)","MCAR",0.5,6,"MPLE",0.688073921028466,0.67824935332427,0.0500000000000007
"uni_email (URV)","MCAR",0.5,7,"MPLE",0.66721189164371,0.679298120434162,0.0489999999999995
"uni_email (URV)","MCAR",0.5,8,"MPLE",0.699344295224977,0.727526309115204,0.0500000000000007
"uni_email (URV)","MCAR",0.5,9,"MPLE",0.679608585858586,0.718055982561423,0.0499999999999972
"uni_email (URV)","MCAR",0.5,10,"MPLE",0.723255280073462,0.751207699854442,0.0479999999999983
"uni_email (URV)","MNAR_degree",0.1,1,"MPLE",0.804363905325444,0.79782523107789,0.0609999999999999
"uni_email (URV)","MNAR_degree",0.1,2,"MPLE",0.78957100591716,0.765143611853443,0.0560000000000009
"uni_email (URV)","MNAR_degree",0.1,3,"MPLE",0.749260355029586,0.695335346362987,0.0560000000000009
"uni_email (URV)","MNAR_degree",0.1,4,"MPLE",0.775147928994083,0.791972893645447,0.0629999999999988
"uni_email (URV)","MNAR_degree",0.1,5,"MPLE",0.82082100591716,0.817810206745617,0.0579999999999998
"uni_email (URV)","MNAR_degree",0.1,6,"MPLE",0.816937869822485,0.780519459038481,0.0609999999999999
"uni_email (URV)","MNAR_degree",0.1,7,"MPLE",0.760909763313609,0.755750710039422,0.0590000000000011
"uni_email (URV)","MNAR_degree",0.1,8,"MPLE",0.866309171597633,0.83145110484013,0.0570000000000022
"uni_email (URV)","MNAR_degree",0.1,9,"MPLE",0.779031065088757,0.769041112661474,0.0640000000000001
"uni_email (URV)","MNAR_degree",0.1,10,"MPLE",0.828957100591716,0.819484296255289,0.0590000000000011
"uni_email (URV)","MNAR_degree",0.3,1,"MPLE",0.754366287453934,0.769227055483553,0.0519999999999996
"uni_email (URV)","MNAR_degree",0.3,2,"MPLE",0.746354750841211,0.729786998805211,0.0579999999999998
"uni_email (URV)","MNAR_degree",0.3,3,"MPLE",0.729170004806922,0.677554811104445,0.0549999999999997
"uni_email (URV)","MNAR_degree",0.3,4,"MPLE",0.647812850504727,0.63167225747032,0.0529999999999973
"uni_email (URV)","MNAR_degree",0.3,5,"MPLE",0.722139881429258,0.712274520449656,0.0570000000000022
"uni_email (URV)","MNAR_degree",0.3,6,"MPLE",0.703553116487742,0.682506391267056,0.0470000000000006
"uni_email (URV)","MNAR_degree",0.3,7,"MPLE",0.725384553757411,0.703473467578429,0.0519999999999996
"uni_email (URV)","MNAR_degree",0.3,8,"MPLE",0.76385995834001,0.77383577502071,0.0549999999999997
"uni_email (URV)","MNAR_degree",0.3,9,"MPLE",0.799991988463387,0.795977879209994,0.0530000000000008
"uni_email (URV)","MNAR_degree",0.3,10,"MPLE",0.748517865726646,0.748407405177531,0.0500000000000007
"uni_email (URV)","MNAR_degree",0.5,1,"MPLE",0.654427800734619,0.689572032459122,0.0489999999999995
"uni_email (URV)","MNAR_degree",0.5,2,"MPLE",0.668044077134986,0.672689813351336,0.0500000000000007
"uni_email (URV)","MNAR_degree",0.5,3,"MPLE",0.683296028466483,0.69274228622588,0.0519999999999996
"uni_email (URV)","MNAR_degree",0.5,4,"MPLE",0.652376033057851,0.711035928009662,0.0479999999999983
"uni_email (URV)","MNAR_degree",0.5,5,"MPLE",0.718642389807163,0.738355956158734,0.049000000000003
"uni_email (URV)","MNAR_degree",0.5,6,"MPLE",0.694164657943067,0.725553155258618,0.0519999999999996
"uni_email (URV)","MNAR_degree",0.5,7,"MPLE",0.64683769513315,0.661703504358036,0.046999999999997
"uni_email (URV)","MNAR_degree",0.5,8,"MPLE",0.665482954545455,0.658221471674334,0.0500000000000007
"uni_email (URV)","MNAR_degree",0.5,9,"MPLE",0.683604511019284,0.714407988794039,0.054000000000002
"uni_email (URV)","MNAR_degree",0.5,10,"MPLE",0.654176710284665,0.662787635392247,0.0480000000000018
"Christmas Eve Bombings 2000 (proxy)","MCAR",0.1,1,"MPLE",0,0.5,0.041999999999998
"Christmas Eve Bombings 2000 (proxy)","MCAR",0.1,2,"MPLE",1,1,0.0449999999999982
