,Airline,Code
966,Tropic Air,PM
967,Tower Air,FF
968,TAMPA,QT
969,TransAsia Airways,GE
970,Transavia Holland,HV
971,TACV,VR
972,TransMeridian Airlines,T9
973,Transmile Air Services,TH
974,Trast Aero,S5
975,Transwest Air,9T
976,Transaero Airlines,UN
977,Thai Star Airlines,T9
978,Turkmenistan Airlines,T5
979,Tuninter,UG
980,Tavrey Airlines,T6
981,Travel Service,QS
982,Trans World Airlines,TW
983,Transaviaexport,AL
984,TUIfly Nordic,6B
985,TAAG Angola Airlines,DT
986,Tassili Airlines,SF
987,TAM Mercosur,PZ
988,Trans States Airlines,AX
989,Travelsky Technology,1E
990,Thalys,2H
991,Open Skies Consultative Commission,1L
992,Tarom,RO
993,Turan Air,3T
994,TRIP Linhas A,8R
995,Transports et Travaux A,OF
996,USA3000 Airlines,U5
997,United Airlines,UA
998,United Feeder Service,U2
999,USA Jet Airlines,U7
1000,Ural Airlines,U6
1001,UM Airlines,UF
1002,Ukrainian Cargo Airways,6Z
1003,United Parcel Service,5X
1004,US Airways,US
1005,UTair Aviation,UT
1006,Uzbekistan Airways,HY
1007,Ukraine International Airlines,PS
1008,US Helicopter Corporation,UH
1009,V Australia Airlines,VA
1010,Valuair,VF
1011,Voyageur Airways,VC
1012,Vietnam Airlines,VN
