Name,Code
L M Clayton Airport,OLF
Yellowstone Airport,WYS
San Luis Valley Regional Bergman Field,ALS
Canyonlands Field,CNY
Ely Airport Yelland Field,ELY
Vernal Regional Airport,VEL
Sierra Blanca Regional Airport,SRR
Show Low Regional Airport,SOW
McCall Municipal Airport,MYL
Lemhi County Airport,SMN
Mammoth Yosemite Airport,MMH
Friday Harbor Airport,FRD
Orcas Island Airport,ESD
Astoria Regional Airport,AST
Newport Municipal Airport,ONP
Emmonak Airport,EMK
Unalakleet Airport,UNK
Ugnu-Kuparuk Airport,UUK
Shageluk Airport,SHX
Nuiqsut Airport,NUI
Eek Airport,EEK
Kasigluk Airport,KUK
Kwethluk Airport,KWT
Kwigillingok Airport,KWK
Marshall Don Hunter Sr Airport,MLL
Russian Mission Airport,RSH
Koliganek Airport,KGK
Manokotak Airport,KMO
Chalkyitsik Airport,CIK
Eagle Airport,EAA
Hughes Airport,HUS
Huslia Airport,HSL
Nulato Airport,NUL
Venetie Airport,VEE
Beaver Airport,WBQ
Central Airport,CEM
Shungnak Airport,SHG
Inyokern Airport,IYK
Visalia Municipal Airport,VIS
Merced Regional Macready Field,MCE
Phoenix Goodyear Airport,\N
Angoon Seaplane Base,AGN
Elfin Cove Seaplane Base,ELV
Funter Bay Seaplane Base,FNR
Hoonah Airport,HNH
Kake Airport,AFE
Metlakatla Seaplane Base,MTM
Hydaburg Seaplane Base,HYG
Egegik Airport,EGX
Perryville Airport,KPV
Pilot Point Airport,PIP
South Naknek Nr 2 Airport,WSN
Akhiok Airport,AKK
Karluk Airport,KYK
Larsen Bay Airport,KLN
Ambler Airport,ABL
Buckland Airport,BKC
Bob Baker Memorial Airport,IAN
Kobuk Airport,OBU
Robert (Bob) Curtis Memorial Airport,ORV
Selawik Airport,WLK
Brevig Mission Airport,KTS
Elim Airport,ELI
Golovin Airport,GLV
